,title,org,desc
0,Share your knowledge with a small business owner,MicroMentor | An initiative of Mercy Corps,Your professional skills can help small businesses grow and create jobs. Volunteer as a mentor on MicroMentor.org and make a meaningful...
1,Chicago Court Ordered Community Service VIRTUAL or LOCAL Nonprofit 501c3 Nobel & Prize...,Ganga Library Inc.,"CALL 202-340-6210. Work VIRTUAL or LOCAL based on YOUR background, interests, hobbies. Any profession, occupation. Flexible schedule ...."
2,"Lend your skills to Chicago's arts, cultural, and creative communities!",Arts & Business Council of Chicago,"Business Volunteers for the Arts (BVA) is the flagship program of the Arts & Business Council of Chicago, and offers a unique link..."
3,Volunteer Tax Preparer (no experience necessary!),Ladder Up,Ever wished there was something you could do to help working families get ahead financially? Do you believe that when neighbors help...
4,Volunteer Mentor,ACCESS LIVING OF METROPOLITAN CHICAGO,We currently have a wonderful opportunity for those looking to volunteer and make an impact in a young persons life. We are looking for...
5,Share your skills with girls in your community!,Girl Scouts of Greater Chicago and Northwest...,"Every week Girl Scouts participate in a wide variety of programs, events and activities offered by our council. These can vary on any..."
6,Inner City Youth Talent Show Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
7,Development School for Youth Support Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
8,Nonprofit Management Assistant,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
9,Marketing and Hospital Outreach Internship,Imerman Angels 1-on-1 Cancer Support,"About Imerman Angels: Through our unique matching process, Imerman Angels partners anyone seeking cancer support with a ""Mentor..."
10,Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE Chicago,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
11,Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE Chicago,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
12,Business Mentor: Share your knowledge with a small business owner!,SCORE Chicago,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
13,Holiday Card Help to Combat Childhood Hunger,"Blessings in a Backpack, Inc.",Most people can’t wait for the weekend. Kids at risk of hunger can’t wait for it to be over. There are more than 13 million...
14,Chicago area Bilingual Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Bilingual Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and..."
15,Service Day Afternoon Volunteer- Downtown,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
16,Volunteer 5 Hours And Create Real Economic Opportunity,Pacific Community Ventures,You can use the professional skills and business experience you’ve earned on the job to create good jobs for working people and...
17,Volunteer Office Decorator!,LUCKY PLUSH PRODUCTIONS,"MacArthur Award-winning Lucky Plush Productions is an internationally touring dance-theater company that provokes, inspires, and..."
18,Join WGIRLS Chicago!,WGIRLS INC,Are you interested in meeting a group of dynamic young women in Chicago? The WGIRLS Chicago Chapter is accepting new members! Come find...
19,2019 Grant Park Turkey Trot,Playworks Illinois,Volunteer at Grant Park's Turkey Trot 5k and Kids Dash and help us bring the power of play to Illinois! Your support will benefit the...
20,Begin a Shoes That Fit Volunteer Chapter in your Community- Help Chicago kids in need...,Shoes That Fit,"Many children in the Chicago area lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff..."
21,Help us Defend Potential : Become a Big!,Big Brothers Big Sisters of Metropolitan Chicago,"Become a Big! Big Brothers Big Sisters is a one-to-one mentoring program for children 7-14. Each volunteer, or 'Big', is matched with a..."
22,US99 Country Cares St. Jude Radiothon,ALSAC/St. Jude Children's Research Hospital,US99 Country Cares Radiothon We need your help for the US99 Country Cares for St. Jude Kids Radiothon. With the help and support of our...
23,Walk or Special Events Committee Member,JDRF Illinois Chapter,Help fundraise for our events. Coordinate a Walk site. Help plan our Gala program. Solicit items for future auctions. Please visit our...
24,Young Leadership Committee Member,JDRF Illinois Chapter,JDRF Illinois Young Leadership Committee (YLC) is a group of young business and civic professionals who are actively involved with JDRF...
25,Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
