title,org,desc
Lego Robotics tournament coordinator,Girl Scouts of Greater Chicago and Northwest...,"Each December, Girl Scouts host a FIRST Lego League robotics tournament for girls and boys. This year's tournament is Sunday, December..."
Inner City Youth Talent Show Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Share your knowledge with a small business owner,MicroMentor | An initiative of Mercy Corps,Your professional skills can help small businesses grow and create jobs. Volunteer as a mentor on MicroMentor.org and make a meaningful...
Development School for Youth Support Staff,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Nonprofit Management Assistant,"All Stars Project, Inc.","The All Stars Project (ASP) is a nationally-recognized, independently funded non-profit that was founded 37 years ago. Our mission is to..."
Chicago Court Ordered Community Service VIRTUAL or LOCAL Nonprofit 501c3 Nobel & Prize...,Ganga Library Inc.,"CALL 202-340-6210. Work VIRTUAL or LOCAL based on YOUR background, interests, hobbies. Any profession, occupation. Flexible schedule ...."
Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE Chicago,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE Chicago,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
Business Mentor: Share your knowledge with a small business owner!,SCORE Chicago,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
Service Day Afternoon Volunteer- Downtown,CHICAGO BRIDGE PROJECT,"On the SECOND Saturday of the month we gather in Logan Square and prepare food, clothing and other comfort items to share with our..."
Volunteer 5 Hours And Create Real Economic Opportunity,Pacific Community Ventures,You can use the professional skills and business experience you’ve earned on the job to create good jobs for working people and...
Volunteer Office Decorator!,LUCKY PLUSH PRODUCTIONS,"MacArthur Award-winning Lucky Plush Productions is an internationally touring dance-theater company that provokes, inspires, and..."
Expand your skillset! Nonprofit Board Training,Arts & Business Council of Chicago,Are you interested in joining a Nonprofit Arts Board? Are you passionate about the Arts? Do you want to become a leader in your...
Nonprofit Arts & Cultural Board Training Program,Arts & Business Council of Chicago,Are you interested in joining a nonprofit board of directors but aren’t sure where to start? Are you passionate about arts &...
Join WGIRLS Chicago!,WGIRLS INC,Are you interested in meeting a group of dynamic young women in Chicago? The WGIRLS Chicago Chapter is accepting new members! Come find...
2019 Grant Park Turkey Trot,Playworks Illinois,Volunteer at Grant Park's Turkey Trot 5k and Kids Dash and help us bring the power of play to Illinois! Your support will benefit the...
Chicago>>>Advice Counselor,Elder Wisdom Circle,Do you have wisdom to share? Are you 60 or better and enjoy offering guidance to younger generations? Members of the Elder Wisdom Circle...
Begin a Shoes That Fit Volunteer Chapter in your Community- Help Chicago kids in need...,Shoes That Fit,"Many children in the Chicago area lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff..."
Help us Defend Potential : Become a Big!,Big Brothers Big Sisters of Metropolitan Chicago,"Become a Big! Big Brothers Big Sisters is a one-to-one mentoring program for children 7-14. Each volunteer, or 'Big', is matched with a..."
Chicago Signature Chefs Auction,March of Dimes,"Volunteers are needed to help with set-up, registration, mini-live auction, photo booth, chef station support, audience spotting and more..."
US99 Country Cares St. Jude Radiothon,ALSAC/St. Jude Children's Research Hospital,US99 Country Cares Radiothon We need your help for the US99 Country Cares for St. Jude Kids Radiothon. With the help and support of our...
Development Intern,AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a creative and motivated individual to intern in its External Relations Department. This...
HIV Ryan White Training Intern,AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a creative and motivated individual to intern in its CARE Department. This is an...
Walk or Special Events Committee Member,JDRF Illinois Chapter,Help fundraise for our events. Coordinate a Walk site. Help plan our Gala program. Solicit items for future auctions. Please visit our...
Young Leadership Committee Member,JDRF Illinois Chapter,JDRF Illinois Young Leadership Committee (YLC) is a group of young business and civic professionals who are actively involved with JDRF...
Help Give Cancer Patients a Much-Needed Ride!,American Cancer Society,One of the biggest road blocks to cancer treatment can be lack of transportation. That's why the American Cancer Society Road To Recovery...
Chicago area Bilingual Home Hospice Patient Support/Companion Volunteer,Rainbow Hospice and Palliative Care,"Work near your home! As a Bilingual Hospice Patient Support/Companion Volunteer, you will be assigned to support a hospice patient and..."
Looking for an opportunity to address food justice issues in Chicago?,Top Box Foods,"Top Box Foods is a non-profit organization with a simple purpose: to offer fresh, healthy, high-quality foods at affordable prices..."
Strategic Management & Business Development Intern (Master's),AIDS Foundation of Chicago,The AIDS Foundation of Chicago (AFC) is seeking a responsible and motivated individual to intern in its Strategy & Business...
Community Outreach Coordinator/ SouthSide Chicago,In Her Shoes Foundation,The Community Outreach Coordinator is an experienced professional responsible for cultivating strategic partnerships through community...
