title,org,desc
NYC Votes Pre-Registration Campaign,New York Campaign Finance Board NYC Votes,"Starting January 1, 2020 16 & 17 year olds can pre-register to vote. NYC Votes is hosting interactive pre-registration and civic..."
Photographer Needed!! Help Capture an Important Event for a Non-Profit,Court Appointed Special Advocates - NYC,We are in need of a volunteer photographer to assist in taking pictures of important events for CASA-NYC. CASA-NYC is a non-profit...
Junior Board Member (NYC),AsylumConnect,"Join AsylumConnect’s new Junior Board of young professionals (ages 21 to 40). Members will help support and promote our mission,..."
Volunteer Administrative Assistant- Summer 2019,Exponents,EXPONENTS is a nonprofit organization located in the heart of New York City compassionately dedicated to serving those impacted by...
Development and Communications Internship,NEW YORK SOCIETY FOR THE PREVENTION OF CRUELTY...,"Internship Benefits $10 Lunch Stipend per day Gain invaluable working experience in a passionate, exciting, mission-driven organization..."
Prevent Dating Abuse - Join the Youth Voices Network!,Day One Youth Voices Network,The Youth Voices Network is a group of volunteers who have had personal experience with dating abuse and/or intimate partner violence...
Part-time Volunteer Administrative Assistant (unpaid),Court Appointed Special Advocates - NYC,DESCRIPTION CASA-NYC is a non-profit organization whose mission is to ensure that children in foster care have their needs met and their...
Advocate for Foster Care Children and Youth (5 Boroughs in NYC),Court Appointed Special Advocates - NYC,"Court Appointed Special Advocates (CASA) is a volunteer-based, non-profit organization working to ensure that children in foster care..."
Volunteers Needed: Back-to-School Kit Packing,Care For the Homeless,"On Friday, December 6th, Care For the Homeless will be facilitating a ""Winter Accessory"" kit packing event here at our Central..."
Volunteer as a Medical Intern in Africa!,MARAFIKI AFRICA INC,Our pre-health program is specially catered to students preparing for medical school and other health professions. During the course of...
Volunteer in Africa!,MARAFIKI AFRICA INC,Volunteers participate in the development of impoverished communities in East Africa by partnering with village leadership and the...
Homeless Persons' Memorial Day with Care For the Homeless,Care For the Homeless,Homeless Persons’ Memorial Day (HPMD) is a national day of commemoration for anyone who passed away while experiencing homelessness...
Love to Sing? Peace of Heart Choir Needs You...,Peace of Heart Choir,"The Peace of Heart Choir is a non-profit volunteer chorus that promotes healing, diversity, community bonding, and mutual understanding..."
Tutor! Help kids achieve in central BK - Be the change!,Seeds in the Middle,Is equal rights to a quality education important to you? WE NEED TUTORS RIGHT NOW to start supporting underserved children so they can...
Environmental Justice Documentary about Climate Change Spanish Speaking,Cine Qua Non Inc./Incite Pictures,"Cine Qua Non, Inc./Incite Pictures is a nonprofit documentary film company dedicated to producing high profile documentaries on social..."
Environmental Film & Video Spanish Translator Editing & More,Cine Qua Non Inc./Incite Pictures,"Cine Qua Non, Inc./Incite Pictures is an award-winning independent nonprofit documentary film company dedicated to producing high profile..."
Sustainable Climate Environment Advocate Hoboken NJ,Citizens' Climate Lobby,Support market-based climate and energy solutions! Citizens’ Climate Lobby (CCL) is a strictly nonpartisan organization that...
Sustainable Climate Environment Advocate Long Island NY,Citizens' Climate Lobby,"Protect our environment and the special place in which we live! Citizens’ Climate Lobby (CCL) wants you! As a volunteer,..."
Sustainable Climate Environment Advocate New York City NY,Citizens' Climate Lobby,"Protect our environment and the special place in which we live! Citizens’ Climate Lobby (CCL) wants you! As a volunteer,..."
Community Health Advocates Helpline Volunteer,Community Service Society,Help New Yorkers understand their health insurance and access the health care they need. Our volunteers assist New Yorkers whether on...
Weekday/Daytime Homeless Drop-In Center Associate,Garden State Episcopal CDC,HOMELESS DROP-IN PROGRAM ASSOCIATE GSECDC (Garden State Episcopal Community Development Corporation) is seeking a Program Associate...
Make a Difference! Volunteer to Support Human Rights,Changing The Present,Intern or Volunteer with ChangingThePresent.org to Support the End of Human Trafficking and Slavery and Make a Difference in Their Lives!...
Intern or Volunteer with ChangingThePresent.org to Support African-American Nonprofits!,Changing The Present,Intern or Volunteer with ChangingThePresent.org to Support African-American Nonprofits! This may be the best possible internship for...
"Drive a leg - Save a life! - New York, NY",Pilots to the Rescue,"Simply by using your vehicle you can save animals - Volunteer your time to transport animals along what is called a ""Rescue Relay..."
"Are you a pilot?  Then you can save animals! - New York, NY",Flying Dog Rescue,We need pilots to help coordinate animal rescue transport flights for other pilots that are transporting animals. So whether you are a...
"Punch holes in the sky & save animals! - Pilots Wanted! - New York, NY",Pilots to the Rescue,"Pilots to the Rescue is seeking active and inactive pilots to help save animals. Even if you lost your medical, are not able to be PIC,..."
"Let me crash on your couch... please? - New York, NY",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
Korean Speaking Program Assistant,Institute for Immigrant Concerns,"ESOL school for immigrants and refugees, educating since 1997, is looking for a qualified and efficient administrator. The most important..."
"Analytics Positions for CPT, OPT, H4 Visa Holders, L2 Visa Holders, and Students",Changing The Present,"Great Analytics Positions for Students, CPT, OPT, H4 Visa Holders, L2 Visa Holders. Here is a great opportunity to use your skills and..."
Accounting and Financial Management,Hearts and Minds,"Please note: Seeking advanced and very experienced only. We are not accepting people to work with our QuickBooks, unless they have..."
Make a Difference! Volunteer to Support the Elderly,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Support The Elderly and Make a Difference in Their Lives! Use your skills, experience,..."
​You Can Make a Difference for Women and Girls! Intern or Volunteer with...,Changing The Present,"About ChangingThePresent.org The NY Times called ChangingThePresent.org ""an amazon.com of the nonprofit world."" Our..."
"Graphics Positions for CPT, OPT, H4 Visa Holders, L2 Visa Holders, and Students",Changing The Present,"Great Graphics Positions for Students, CPT, OPT, H4 Visa Holders, L2 Visa Holders. Here is a great opportunity to use your skills and..."
Make a Difference! Volunteer Focus on Hispanic Causes,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Support Nonprofits Supporting the Hispanic Community! Use your skills, experience,..."
Executive Management,Hearts and Minds,We are seeking volunteers interested in leadership roles to help accelerate our work in helping address extreme global poverty. Choose...
Product Marketing and Business Management,Hearts and Minds,Hearts and Minds seeks students and professionals with Product Marketing and/or Business Management experience to promote its www...
Sustainable Climate Environment Advocate Brooklyn NY,Citizens' Climate Lobby,"Protect our environment and the special world in which we live. Citizens’ Climate Lobby (CCL) wants you! As a volunteer,..."
Student Intern Department,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Volunteer Advocate for Survivors of Sexual Assault and Intimate Partner Violence,Mount Sinai Beth Israel,Mount Sinai Beth Israel Victim Services Program is seeking compassionate and caring people to volunteer and support survivors of sexual...
Encore Senior Center: Meals on Wheels - Saturday Delivery (Hell's Kitchen),Catholic Charities of the Archdiocese of New York,This is a great *family friendly*volunteer opportunity -- all ages welcome! Help us deliver meals on foot to our seniors in the midtown...
Volunteer at  resource fair to support kids with disabilities,"Resources for Children with Special Needs, Inc.",INCLUDEnyc is hosting our annual resource fair in the Penthouse of Hotel Pennsylvania on January 25th and we are seeking volunteers for...
"Assist the NYC Community Shoe Drive Reach 25,000 Pairs!",SOLES 4 SOULS,"Our lead volunteer in Manhattan, Rayna, is working to collect 25,000 pairs of shoes to create jobs for those in need in places like Haiti..."
Volunteer Experienced English Teachers,Centro NYC,"CentroNYC, a non-profit organization serving the immigrant community in New York City, seeks an experienced volunteer English teacher for..."
