title,org,desc
Exercise + ResQWalk App = Free Donation,Ruff House Rescue,"Get outside, exercise, and raise money for Ruff House Rescue all at the same time! Just download the ResQWalk app on your cell phone, and..."
Cat adoption counselors,"City Critters, Inc.",We need volunteers who can commit to 3 hours every weekend to help meet and screen potential adopters in our adoption centers at the...
Foster homes for cats needed,"City Critters, Inc.","A foster application in PDF format will be attached to an email you will receive. Please read, complete, date, and sign the foster..."
"Adoption Event Decorating/Kennel Prep--Fridays, Turtle Bay","City Critters, Inc.",We are in need of cat-savvy people to help decorate and prep kennels for our weekend adoption events at our Petco adoption center at 991...
"Drive a leg - Save a life! - New York, NY",Pilots to the Rescue,"Simply by using your vehicle you can save animals - Volunteer your time to transport animals along what is called a ""Rescue Relay..."
Do you work for the airlines? Then you can help save animals! - New York,Pilots to the Rescue,"Do you work for the airlines? Then you can help save animals! If you have flight privileges with an airline, current employee or retired,..."
"Punch holes in the sky & save animals! - Pilots Wanted! - New York, NY",Pilots to the Rescue,"Pilots to the Rescue is seeking active and inactive pilots to help save animals. Even if you lost your medical, are not able to be PIC,..."
"Are you a pilot?  Then you can save animals! - New York, NY",Flying Dog Rescue,We need pilots to help coordinate animal rescue transport flights for other pilots that are transporting animals. So whether you are a...
"Let me crash on your couch... please? - New York, NY",ARFS GERMAN SHEPHERD INC,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation.Shelters do not...
Intern or Volunteer with ChangingThePresent.org Support Christian Charities and Make a...,Changing The Present,"Intern or Volunteer with ChangingThePresent.org Support Christian Charities and Make a Difference! Use your skills, experience,..."
"Analytics Positions for CPT, OPT, H4 Visa Holders, L2 Visa Holders, and Students",Changing The Present,"Great Analytics Positions for Students, CPT, OPT, H4 Visa Holders, L2 Visa Holders. Here is a great opportunity to use your skills and..."
Animal Lovers - Help Make New York a No-Kill City!,Anjellicle Cats Rescue,Anjellicle Cats Rescue is looking for kitty lovers to help out weekly at our 3 Manhattan facilities. Volunteers will work with a partner...
Project Manager - Business Manager - Marketing Manager,Giving Forward,Are you someone who enjoys participating in projects that will help a diverse set of nonprofits thrive? Do you love the idea that...
Help Seniors and Others in Need Keep Their Pets! Volunteer with PAWS NY! (All Boroughs!),Pets Are Wonderful Support (PAWS NY),"Pets Are Wonderful Support (PAWS NY) is a grassroots, volunteer-driven organization. If you enjoy spending time with both people and..."
Volunteer With a Therapeutic Horsemanship Program in Brooklyn,GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders walk, talk, connect, focus, behave and learn, inspiring each one to live life as..."
Raise a Puppy - Change a Life,Guide Dog Foundation & America's VetDogs,We are looking for special families to open their hearts and homes and join our family of puppy raisers. Puppy Raisers make a commitment...
Pet Housecall or Pantry Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Want to make a difference in the lives of both people and animals? Through this remarkable organization, you..."
Love cats and live in Park Slope?,For Animals Inc.,Cat lovers - For Animals Inc. is looking for reliable volunteers who love cats and have about 1 hour of free time in the morning and/or...
Volunteers Needed for Cat Adoptions Team!,"KittyKind, Inc.",We are looking for volunteers to join our organization to work on the Adoptions Team! Adoptions volunteers come in for a couple hours at...
Aquarium or Zoo Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Do you have a passion for fish, sharks, and other creatures of the sea? Or perhaps you have a stronger..."
"Let me crash on your couch...please? - New York, NY",LAURAS HOPE RESCUE,Loaning an animal your couch can save their life! - Every 16 seconds an animal is euthanized simply due to overpopulation. Shelters do...
"Drive a leg, Save a life! - New York, NY",HEARTS ALIVE VILLAGE,"Simply by using your vehicle, you can save animals - New York - Volunteer your time to transport animals along what is called a..."
Health Care: Cats/Kittens,"KittyKind, Inc.",Read about KittyKind at www.kittykind.org KittyKind is all-volunteer cat rescue and cat adoption group located in the Petco store on 17th...
Feeding/Cleaning Volunteers,"KittyKind, Inc.","We have one morning and one evening shift every day of the week designated for feeding our kitties, socializing with them, and cleaning..."
Animal Care Officer (Volunteer),"Inky Blue Sea Companion Animal Rescue, Inc.","EWe need dedicated volunteers to help maintain a sanitary environment inside our cat adoption center. This includes cleaning kennels,..."
Adoptions Manager,"Inky Blue Sea Companion Animal Rescue, Inc.","Adoption Managers will adopt out cats or kittens, contact potential adopters, explain and handle paperwork such as adoption applications..."
Communications Manager,"Inky Blue Sea Companion Animal Rescue, Inc.","A Communications Manager develops ideas for advertisements, outreach, and fundraising. A Communications Manager is able to hire a team to..."
Volunteer at the Queens Zoo!,Queens Zoo / Wildlife Conservation Society,"Volunteers at the Queens Zoo help provide memorable educational experiences for our guests. As a member of the team, you will teach..."
Senior's love for Cats,Jewish Community Council of Greater Coney Island,"Have some extra time? Enjoy conversation? Have a like for kittens and Cats? Well, here is a great opportunity! Friendly Visiting NY,..."
Do you work for the airlines? Then you can help save animals! - Newark,Pilots to the Rescue,"Do you work for the airlines? Then you can help save animals! If you have flight privileges with an airline, current employee or retired,..."
Do you love cats? Foster homes urgently needed!,Anjellicle Cats Rescue,We are urgently looking for foster homes for cats and kittens. Your loving care will help give a rescue cat or kitten a new chance to...
URGENT: Cat Care Volunteers Needed at UES Adoption Center -- Weekday Mornings,Anjellicle Cats Rescue,"We are looking for experienced, cat-loving volunteers to spend quality time with our rescued cats at our Petco location on the UPPER EAST..."
Volunteer Photographer - NYC-Based Therapy Dog Nonprofit,"A Fair Shake for Youth, Inc.","A Fair Shake for Youth, Inc. is a non-profit that uses registered therapy dogs to help middle-school-aged youth in underserved..."
Volunteer Dog Teams,"A Fair Shake for Youth, Inc.",Would you like to make a difference with your dog? Disadvantaged children in New York City need help. Now you and your dog can help them....
Funding Proposal help!,Animal Connection,Hello volunteermatch world! I am working on procuring funding for my project www.animalconenction.info we do animal sanctuary trips and...
"Volunteer with a Therapeutic Horsemanship Program in Forest Hills, Queens",GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders in NYC with disabilities walk, talk and learn,inspiring them to live their lives..."
Volunteer with a Therapeutic Horsemanship Program in Queens (Howard Beach),GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders in NYC with disabilities walk, talk and learn,inspiring them to live their lives..."
Serenity Hospice Is Looking For Caring People To Volunteer With Our Patients!,Serenity Hospice Care,"Do you want to make a difference in the life of a terminally ill patient? Our patients are located all over NJ, in various facilities and..."
Community Pet Therapy Volunteer,Hospice Care Network,Do you have a Certified Pet Therapy Dog? Are you interested in bringing smiles to patients and families? We could use your help! Hospice...
Share Your Pet's Love - Seeking Certified Pet Therapy Volunteers for Hospice!,Hospice Compassus,Life Choice Hospice is seeking Pet Therapy Volunteers to visit our hospice patients throughout Northern NJ. Providing our patients with...
12/07 Rockaway Beach Piping Plover Fencing,NYC Parks Stewardship Program,"It's the end of the nesting season for the Piping Plovers! Since 1996, NYC Parks has been managing the nesting grounds of federally..."
Great Kills Park - Asiatic Sand Sedge Removal,National Park Service/Gateway,"We will meet at the Great Kills Ranger Station at 10AM; this is the first building on the right side of the road, after you enter the..."
Spay/Neuter Clinic Volunteers,"People for Animals, Inc.","JOB TITLE: Clinic Assistant REPORT TO: Staff on duty. SUPERVISED BY: Clinic/Program Manager PURPOSE: To provide a clean, safe environment..."
Office volunteer,"People for Animals, Inc.",JOB TITLE: Clerical REPORT TO: Clinic/Program Manager TIME COMMITMENT: Varies. PURPOSE: To ensure the timely filing and scanning of...
Cat/Kitten Foster,"People for Animals, Inc.",Foster Homes needed! Homeless cats need temporary foster homes! If you have a small room that can be closed off to other pets or an area...
Community Cats Team,"People for Animals, Inc.",JOB TITLE: Community Cats Team member REPORT TO: Program Manager TIME COMMITMENT: Varies. PURPOSE: To assist the Community Cats Program...
Fundraising and Event Volunteer,"People for Animals, Inc.",P JOB TITLE: Off-site and Special Events REPORT TO: Clinic/Program Manager TIME COMMITMENT: As needed. Great volunteer opportunity for...
"Cat Adoption Center Volunteer-Englewood, NJ",Felines For Adoption Cat Rescue,Felines For Adoption Cat Rescue utilizes the adoption center at the Englewood Pet Valu store for adoption events during the week and on...
Volunteer With a Therapeutic Horsemanship Program in the Bronx (Pelham Bay Park),GallopNYC,"GallopNYC uses therapeutic horsemanship to help riders walk, talk, connect, focus, behave and learn, inspiring each one to live life as..."
Interested in TNR and helping feral cats?,For Animals Inc.,For Animals Inc. is looking for people interested in TNR (trap-neuter-return) and helping cats on the streets in South Ozone Park area...
You love cats? Become a SHELTER CARETAKER!,For Animals Inc.,For Animals shelter in Queens needs animal lovers to help socialize and care for the friendly cats and kittens we rescue from the streets...
Volunteers Urgently Needed For (FOLAS),Friends of Linden Animal Shelter (FOLAS),URGENT! We are looking for responsible dependable people who are willing to help with daily am/pm shelter shifts. We also need help with...
"Photographers |or| Videographers (Island Park, NY)",Ruff House Rescue,"Become a Volunteer, change homeless Dogs and Cats Lives! At Ruff House Rescue we know you must have a kind heart because you wanting to..."
U-R-G-E-N-T!!!  Rescue Dog Care/Kennel Support:  3 hrs per week!,Ruff House Rescue,Join our team of caring and awesome volunteers who work at our Rescue facility taking care of our puppies/dogs! Experience it once and...
Wedding Fundraising with Dogs Instead of Flowers,Ruff House Rescue,Do you have an upcoming special occasion such as a wedding? Are you passionate about finding forever homes for homeless and abused cats...
STORE ASSISTANT/CLERK:  Donated items accepted too!!,Ruff House Rescue,"We have several opportunities for you at our ""Thrifty Pawz"" consignment shop!! We are looking for several Store Assistants and..."
Transport Our Pups!!,Ruff House Rescue,Give us a few hours and we will give you a lotta love back from our rescue dogs! Become a Driver and change homeless Dogs and Cats Lives!...
FOSTER a Dog|Puppy or Cat|Kitten -or- FOSTER-TO-ADOPT!  Save Lives!!  ** Urgent**,Ruff House Rescue,Join our Guardian Angels program and change homeless dogs’ and cats’ lives! We are looking for special people to open their...
ASPCA Volunteer Page Coordinator,Ruff House Rescue,Join our team of caring and awesome volunteers who work to protect and save hundreds of animals per year. You must be at least 21 years...
Kitty Help at Oceanside Petco,Ruff House Rescue,Are you a cat lover? We need some part-time volunteers to spend a little time with our cats/kitties until they find a home. The...
Serenity Hospice Is Looking For Caring People To Volunteer With Our Patients!,Serenity Hospice Care,"Do you want to make a difference in the life of a terminally ill patient? Our patients are located all over NJ, in various facilities and..."
Westfield - Certified Pet Therapy Volunteer Opportunuity for Compassus Hospice!,Hospice Compassus,"Compassus Hospice is looking for gentle Certfied Pet Therapy animals and their companions, to visit the patients we serve (at home or in..."
PAID POSITION!!!  Rescue Dog Care-Kennel Support,Ruff House Rescue,Volunteers needed ASAP! Join our team of caring and awesome staff who work at our rescue facility taking care of our puppies/dogs!...
Share Your Pet's Love - Seeking Certified Pet Therapy Volunteers for Hospice!,Hospice Compassus,Life Choice Hospice is seeking Pet Therapy Volunteers to visit our hospice patients throughout Northern NJ. Providing our patients with...
Share Your Pet's Love - Seeking Certified Pet Therapy Volunteers for Hospice!,Hospice Compassus,Life Choice Hospice is seeking Pet Therapy Volunteers to visit our hospice patients throughout Northern NJ. Providing our patients with...
Share your pet's unconditional love with hospice patients! - Northern NJ,Hospice Compassus,"""The difference between friends and pets is that, friends we allow into our company, pets we allow into our solitude."" - Robert..."
South Amboy - Certified Pet Therapy Volunteer Opportunuity for Compassus Hospice!,Hospice Compassus,"Compassus Hospice is looking for gentle Certfied Pet Therapy animals and their companions, to visit the patients we serve (at home or in..."
Dinosaur Animal Adventure Exhibit,CSTL,"Come be a part of DINO-MITE Crew and Volunteer with the Center for Science Teaching and Learning (CSTL)! CSTL's ""Dinosaurs!""..."
Front Desk and Office Assistant Volunteers,CSTL,Join Us! Be a part of our teaching initiative to inspire science learning in people of all ages. We are specifically looking for Front...
"Hospice Volunteers - Companion, Music, Reiki - Keansburg",Ascend Hospice,"If you have an hour or more per week to give, Ascend Hospice welcomes your gifts of time and compassion. Whether you choose to work..."
