title,org,desc
"Manhattan, NY: Help Solve the Literacy Crisis as a Lead Project Manager",American Youth Literacy Foundation,Have you ever wanted to do something AMAZING to change the world but didn't know where to start? Here is an opportunity to help...
Begin a Shoes That Fit Volunteer Chapter in your Community-New York kids in need of new...,Shoes That Fit,"Many children in New York lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff cardboard in..."
Business Mentor: Share your knowledge with a small business owner!,SCORE New York City,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE New York City,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE New York City,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
Development Intern,Big Apple Greeter,International organization is looking for a motivated intern to work with the Director of Volunteers on Giving Tuesday and Year End...
Photographer Needed!! Help Capture an Important Event for a Non-Profit,Court Appointed Special Advocates - NYC,We are in need of a volunteer photographer to assist in taking pictures of important events for CASA-NYC. CASA-NYC is a non-profit...
HELP OUR SENIORS STAY INDEPENDENT - ALL BOROUGHS,NYC Dept. for the Aging Bill Payer Program,"Remaining in their own homes is critical for our seniors and you can help! Compassionate, detail-oriented volunteers, using their..."
Office Coordinator,WebServes,"Be an integral part of a socially-engaged Tech organization! The Office Coordinator will contribute to active program coordination,..."
Paint with Habitat for Humanity NYC!,Habitat for Humanity New York City,Revitalize community spaces throughout New York City with Habitat for Humanity! Our Brush With Kindness (BWK) program enhances community...
Unique Opportunities,NYC Department for the Aging (DFTA),"Occasionally the DFTA Volunteer Resource Center seeks volunteers for short-term, one-time or special projects throughout New York City...."
Join the Historic Ships Preservation Crew!,South Street Seaport Museum,"Join the crew at South Street Seaport Museum in preserving, restoring, and maintaining our historic fleet of ships. Get your hands dirty,..."
9/11 Memorial & Museum: Membership Greeter Volunteers,NATIONAL SEPTEMBER 11 MEMORIAL & MUSEUM,The Membership Greeter Volunteer would engage with visitors both on the Memorial Plaza and Membership Desk areas to disseminate...
Help Little Essentials sort donations!,Little Essentials,Volunteers are the heart of Little Essentials! We are always in need of volunteers to help us sort donated children's items at our...
Volunteer,New York Campaign Finance Board NYC Votes,Volunteer Today. NYC Votes is the voter engagement arm of the NYC Campaign Finance Board. It conducts nonpartisan voter engagement...
In-class Math Tutor needed for BMCC HSE Program,The City Tutors,The City Tutors (CT) is looking for tutors to provide in-class academic support in math for the Division of Continuing Education at...
Volunteer - Workshop Committee,SCORE NYC,"We are the Workshop Committee for one of the largest chapters of SCORE, a national non-profit organization dedicated to supporting small..."
Volunteer Administrative Assistant and Reception,SCORE NYC,We have an immediate opening for an administrative assistant to support our non-profit organization that mentors small businesses and...
Volunteer - Advisory Board Member - for local businesses,SCORE NYC,Volunteer Opportunity for: Corporate Directors and Senior Management Consultants to join small business Advisory Board(s) Position:...
"Community Representative/Counselor in NYC, NY",EurAupair International Child Care Programs,"EurAupair is looking for a local representative to work with au pairs and host families in New York City, NY. EurAupair is one of the..."
Volunteer: Mentor Small Businesses & Start Ups,SCORE NYC,"OPPORTUNITY FOR Senior Managers and Executives Position: Mentor to Entrepreneurs in Manhattan, Brooklyn and The Bronx. Compensation:..."
Assistant to Chapter Treasurer,SCORE NYC,SCORE NYC is the local chapter servicing / mentoring the New York City area's business community. We are looking for an organized...
Website and SEO Design,SCORE NYC,"Need volunteers to mentor small businesses in building an effective website on WordPress, Squarespace or Shopify. Volunteer should have..."
Serve Lunch to Older Adults on LES!,Manny Cantor Center,"Help serve lunch to older adults on the Lower East Side to ensure they have a hot, healthy meal to eat! Each day about 150 seniors attend..."
Videographer,Big Apple Greeter,"Launched in May 1992, Big Apple Greeter is an independent non-profit corporation. Its mission is to enhance New York City's worldwide..."
