title,org,desc
"New York City Housing Court, Guardian Ad Litem Program",Civil Court of the City of New York,"The Guardian Ad Litem (GAL) Program recruits, trains, and provides Housing Court judges with a pool GALs whose goal is to safeguard the..."
Adults and Children with Special Needs Projects with New York Cares,New York Cares,"New York Cares offers many programs serving adults and children with special needs, which present our volunteers with a chance to give a..."
Cheer & Give Out Medals at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Stair Support Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Bag Check Support Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
EHR Volunteer Needed for Non-Profit!,New Alternatives for Children,"New Alternatives for Children is a unique, award-winning child welfare agency offering strength-based social services, medical and mental..."
Homeless Persons' Memorial Day with Care For the Homeless,Care For the Homeless,Homeless Persons’ Memorial Day (HPMD) is a national day of commemoration for anyone who passed away while experiencing homelessness...
TEACH Advisory Board Member- NY slot.,TEACH TOGETHER EDUCATING ALL CHILDREN IN...,"TEACH has open Advisory Board seats, below is a description! Feel free to also check us out on our website to learn more about us at www..."
Walk to Cure Arthritis NYC 2020,"Arthritis Foundation, Inc.","Whether you do it for yourself, a loved one or just because you care, Walk to Cure Arthritis is the place to be. Together, we join forces..."
Volunteer Event Planner who LOVES NYC events,Maya's Hope,"If you have experience in NYC events and would like to get involved, please email maya@mayashope.org with your resume and why Maya's Hope..."
Event Information Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Time Recorder Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Packet Check-In Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Life Coach needed for Group/Individuals to help fundraise!,Maya's Hope,Do you have life coaching skills? Would you like to use those skills to help improve the lives of needy children? Then you may be just...
Rehabilitation Volunteer,YAI-Network,This volunteer position is to support YAI's rehabilitation team in scanning occupational and physical therapy documents and to assist in...
Spanish-Speaking Clinic Volunteer,YAI-Network,YAI is seeking a fluent Spanish-speaking volunteer to help fill out intakes and translate documents in the clinic. Interested? Email...
"Dance, Crafts and Sports with Adults with Developmental Disabilities",YAI-Network,"The volunteer will provide support to adults, ages 16 and up, through recreational/cultural activities and discussion groups for..."
"Intern, Volunteer, and OPT Opportunities for International Students",Changing The Present,"Great Internships for International Students, Graduates, and Professionals ChangingThePresent has had fantastic interns and volunteers..."
Volunteer Photographer Needed for Children's Autism Program: Ballet For All Kids...,American Autism Association,The American Autism Association is an organization dedicated to helping families and individuals affected by autism while increasing...
Tax Letters Volunteer,Maya's Hope,We are looking for an extraordinary volunteer who is efficient at Word and google docs! You must have computer experience and ideally...
Volunteer Photographers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
T-Shirt Distribution Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Volunteer Check-In Support Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Companion for Adults with Developmental Disabilities,YAI-Network,The volunteer will provide company and support people in their daily activities. The volunteer is a friendly self-starter who enjoys...
Volunteer Assistant to President of the Foundation,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Grant Writing Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Human Services Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Guild For the Blind: Education Clerical Support,Catholic Charities of the Archdiocese of New York,Are you an organized person with a love for education? Do you enjoy working with the Blind Community? Then we need you! Our instructors...
Volunteer at  resource fair to support kids with disabilities,"Resources for Children with Special Needs, Inc.",INCLUDEnyc is hosting our annual resource fair in the Penthouse of Hotel Pennsylvania on January 25th and we are seeking volunteers for...
Help Seniors and Others in Need Keep Their Pets! Volunteer with PAWS NY! (All Boroughs!),Pets Are Wonderful Support (PAWS NY),"Pets Are Wonderful Support (PAWS NY) is a grassroots, volunteer-driven organization. If you enjoy spending time with both people and..."
Spirit & Cheer Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Top Fundraiser Lounge Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Rest Stop Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Volunteers Needed for Photo Booth Support at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Food & Beverage Volunteers Needed at Climb to the Top NYC!,National MS Society - New York City,The National MS Society is looking for volunteers to cheer on participants at Climb to the Top NYC! Climb to the Top NYC 2019 will be...
Media & Communications Volunteer or Student Intern,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Blindness Technology Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Web Designer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Education Services Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Finance Department Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
General Management Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Board Member Needed for Organization to Aid the Blind,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Culikid Cooking Events for Children with Special Needs,CULIKID INC,Culikid hosts monthly culinary-sensory events that provide children with a fully curated and supervised day with a chef and social worker...
