title,org,desc
"Manhattan, NY: Help Solve the Literacy Crisis as a Lead Project Manager",American Youth Literacy Foundation,Have you ever wanted to do something AMAZING to change the world but didn't know where to start? Here is an opportunity to help...
Begin a Shoes That Fit Volunteer Chapter in your Community-New York kids in need of new...,Shoes That Fit,"Many children in New York lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff cardboard in..."
Seeking Junior Board Members,Lar Lubovitch Dance Company,Lar Lubovitch and the Board of Directors are pleased to invite you to join the newly formed Junior Board of the Lar Lubovitch Dance...
Seeking Senior Board Members,Lar Lubovitch Dance Company,"The Lar Lubovitch Dance Company is world-renowned. We currently have 14 dedicated members on our Senior Board, and we are now seeking to..."
Become a Leadership Coach! (NYC),Braven,Braven Leadership Coaches lead teams of 5-8 diverse college students through a semester-long leadership and career course at Lehman...
Business Mentor: Share your knowledge with a small business owner!,SCORE New York City,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE New York City,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE New York City,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
"Manhattan, NY: Help solve the literacy crisis as a lead graphic designer/illustrator",American Youth Literacy Foundation,Have you ever wanted to do something AMAZING to change the world but didn't know where to start? Here is an opportunity to help...
Arts For All Book Fair,Arts For All,"Arts For All offers accessible artistic opportunities to children in the New York City area who face socio-economic, physical, or..."
Afterschool STEM Mentoring Program - Spring 2020,The New York Academy of Sciences,"Afterschool STEM Mentoring Program at the New York Academy of Sciences recruits undergraduate and graduate students, postdocs, and STEM..."
Marketing & Communications Intern/Volunteer,ARTISTIC DREAMS INTERNATIONAL,"Artistic Dreams International (ADI) is seeking a passionate, engaged and resourceful Marketing and Communications Intern to develop and..."
"English, US Citizenship, and Legal Aid Referral Help Needed",Tutoria,We’re an all-volunteer team inspired by the impact of free tutoring in our local communities here in New York. We’ve seen the...
In-class Math Tutor needed for BMCC HSE Program,The City Tutors,The City Tutors (CT) is looking for tutors to provide in-class academic support in math for the Division of Continuing Education at...
Help NYC teens explore their purpose in life!,nXu Education,"The Compass Coach role for the 2019-20 Fellowship is now closed in New York City. However, if you are interested in ad hoc volunteer..."
Volunteer Administrative Assistant and Reception,SCORE NYC,We have an immediate opening for an administrative assistant to support our non-profit organization that mentors small businesses and...
Volunteer - Advisory Board Member - for local businesses,SCORE NYC,Volunteer Opportunity for: Corporate Directors and Senior Management Consultants to join small business Advisory Board(s) Position:...
Assistant to Chapter Treasurer,SCORE NYC,SCORE NYC is the local chapter servicing / mentoring the New York City area's business community. We are looking for an organized...
Adult Education with New York Cares,New York Cares,"Planning for a better future starts by believing that one is possible. On New York Cares' Adult Education projects, volunteers help..."
Job Readiness with New York Cares,New York Cares,"Planning for a better future starts with believing that one is possible. On New York Cares' Job Readiness projects, volunteers help..."
Website and SEO Design,SCORE NYC,"Need volunteers to mentor small businesses in building an effective website on WordPress, Squarespace or Shopify. Volunteer should have..."
School Program Educator,Fraunces Tavern Museum,Fraunces Tavern Museum is always looking to invite talented individuals to assist with our educational programming. Our well trained...
"In-Class Tutoring/Literacy and Math/Lower Manhattan/BMCC/2-3 hours a week, mornings or...",The City Tutors,The City Tutors (CT) is looking for tutors to provide in-class academic support in literacy and math for the Year Up at Borough of...
Volunteer Mentor-(Mentor NYC Youth),Big Brothers Big Sisters of NYC,"Our volunteer mentors (we call them ""Big Brothers"" or ""Big Sisters"") come from a wide variety of social, economic and..."
Fundraising / Development Coordinator,WebServes,WebServes is a 501 (c)(3) nonprofit technology services organization that provides comprehensive solutions for small businesses and...
Accountant,WebServes,WebServes (WS) is a 501 (c)(3) nonprofit technology services organization that provides comprehensive solutions for small businesses and...
