title,org,desc
Paint with Habitat for Humanity NYC!,Habitat for Humanity New York City,Revitalize community spaces throughout New York City with Habitat for Humanity! Our Brush With Kindness (BWK) program enhances community...
Volunteer Weekly (with Stipend) to Fight Hunger and Food Waste in NYC!,Rescuing Leftover Cuisine Inc,Who We Are Rescuing Leftover Cuisine is a 501(c)3 non-profit focused on providing a reliable food rescue service by fostering community...
Fight Food Waste and Hunger in NYC on Monday's or Wednesday's!,Rescuing Leftover Cuisine Inc,Who We Are Rescuing Leftover Cuisine is a 501(c)3 non-profit focused on providing a reliable food rescue service by fostering community...
Lead the Fight Against Hunger and Food Waste in NYC as a Lead Rescuer!,Rescuing Leftover Cuisine Inc,Who We Are Rescuing Leftover Cuisine is a 501(c)3 non-profit focused on providing a reliable food rescue service by fostering community...
"New York City Housing Court, Guardian Ad Litem Program",Civil Court of the City of New York,"The Guardian Ad Litem (GAL) Program recruits, trains, and provides Housing Court judges with a pool GALs whose goal is to safeguard the..."
Volunteers Needed: Back-to-School Kit Packing,Care For the Homeless,"On Friday, December 6th, Care For the Homeless will be facilitating a ""Winter Accessory"" kit packing event here at our Central..."
Drivers - Event Equipment Drop off,Dare2B,Drivers will be required to have an SUV or vehicle with a large trunk to pick up event bins from the Brooklyn OR Harlem shelter and drop...
Thanksgiving Prep! Storage Unit Setup,Dare2B,"Volunteers needed to assist in preparing before our Thanksgiving festivities coming up to provide a memorable moment for all involved,..."
2019 Thanksgiving Meal Preparation,Dare2B,"Date: Wednesday, November 27, 2019 Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will..."
Homeless Persons' Memorial Day with Care For the Homeless,Care For the Homeless,Homeless Persons’ Memorial Day (HPMD) is a national day of commemoration for anyone who passed away while experiencing homelessness...
Fight Hunger and Food Waste in NYC on Friday Afternoons!,Rescuing Leftover Cuisine Inc,Who We Are Rescuing Leftover Cuisine is a 501(c)3 non-profit focused on providing a reliable food rescue service by fostering community...
Volunteer Fridays (with Stipend) to Fight Food Waste and Hunger in NYC!,Rescuing Leftover Cuisine Inc,Who We Are Rescuing Leftover Cuisine is a 501(c)3 non-profit focused on providing a reliable food rescue service by fostering community...
2019 Thanksgiving Meal WarmUp/Distribution,Dare2B,Dare2B is excited to welcome new and long-term volunteers this holiday season. Together we will prepare a gourmet meal to be distributed...
2019 Thanksgiving Celebrations,Dare2B,Dare2B are hosting their annual Thanksgiving Events to create a memorable moment for children living in shelters and their families. Join...
Volunteer with One Brick and Rescuing Leftover Cuisine,ONE BRICK,"RESCUING LEFTOVER CUISINE: Rescuing Leftover Cuisine is a national 501(c)3 non-profit food rescue organization, operating in 16 cities..."
Volunteer with One Brick and Rescuing Leftover Cuisine - Food for the Needy,ONE BRICK,"In the United States alone, 40 percent of food gets tossed every year - and that amouns to $162 billion in waste annually, according to..."
Join a NYC Board of Directors - BoardAssist has 100s of New York board member openings,BoardAssist,Interested in serving as a high impact agent of change on a New York City nonprofit board? Contact BoardAssist. BoardAssist is the...
Builders of the New World -- Videographer Volunteer,The Actors Theatre Workshop,"Be a member of the Builders of The New World, a theatre and education program for Homeless children, now in its eleventh year of..."
Volunteer Referral Service,Volunteer Referral Center,MAKE A DIFFERENCE! VOLUNTEER! Want to Volunteer? Need help getting started? Come in for a free and personal one-on-one interview to help...
Licensed Chefs/Cooks Needed,Grand Central Neighborhood Social Services...,We are currently looking for chefs to assist in our soup kitchen. As Thanksgiving approaches we tend to serve more people . Volunteer...
Help redistribute donations to those in need in your community!,"Round 2 Resources, Inc",Round 2 Resources is looking for volunteers for multiple positions: Men and women are needed to help pick up furniture at donors homes...
JASA is looking for Motivated Volunteers at Program Sites throughout New York City!,JASA,JASA has volunteer opportunities available at sites throughout New York City. Please contact Blaise McNair for more information at...
BOOKED TO CAPACITY:  VOLUNTEER THIS THANKSGIVING HOLIDAY & SERVE THOSE IN NEED,"Bowery Residents' Committee, Inc.","WITH SINCERE THANKS TO THE GREATER NEW YORK CITY COMMUNITY, ALL AVAILABLE POSITIONS ARE NOW BOOKED AND ALL PROGRAMS ARE AT CAPACITY FOR..."
