title,org,desc
HELP OUR SENIORS STAY INDEPENDENT - ALL BOROUGHS,NYC Dept. for the Aging Bill Payer Program,"Remaining in their own homes is critical for our seniors and you can help! Compassionate, detail-oriented volunteers, using their..."
Unique Opportunities,NYC Department for the Aging (DFTA),"Occasionally the DFTA Volunteer Resource Center seeks volunteers for short-term, one-time or special projects throughout New York City...."
Assistant to Chapter Treasurer,SCORE NYC,SCORE NYC is the local chapter servicing / mentoring the New York City area's business community. We are looking for an organized...
Serve Lunch to Older Adults on LES!,Manny Cantor Center,"Help serve lunch to older adults on the Lower East Side to ensure they have a hot, healthy meal to eat! Each day about 150 seniors attend..."
Be Part of Someone's Legacy--Become a Hospice Volunteer!,MJHS Hospice and Palliative Care,MJHS Hospice provides a specialized program of care and services for end-of-life patients. MJHS Hospice provides care for pediatric and...
Friendly Visits with a Lesbian Elder in Brooklyn - Spanish Speaking,GRIOT Circle Inc.,"Friendly Visiting with a Lesbian Elder If you identify as a lesbian or queer woman, speak Spanish and you would love to meet with an..."
Friendly Visiting,Visiting Neighbors,"Volunteers are matched with homebound, isolated and lonely seniors whom they visit at least once each week. Many volunteers supplement..."
Christmas/Chanukah Elfing Project,Visiting Neighbors,"ELVES WANTED! Brighten the holidays for a lonely senior (and yourself). We're looking for a few good elves to deliver gifts to homebound,..."
Shop & Escort,Visiting Neighbors,"Volunteers help seniors with shopping or errands, accompany them to the doctor or other appointments, provide a steady arm to lean on, as..."
Spanish-Speaking Clinic Volunteer,YAI-Network,YAI is seeking a fluent Spanish-speaking volunteer to help fill out intakes and translate documents in the clinic. Interested? Email...
One of the Most Direct Ways to Help - Prepare Tax Returns!,"Grow Brooklyn, Inc.","Grow Brooklyn is a not-for-profit corporation whose mission is to enable members of its community to preserve and grow their assets,..."
File Clerk,JASA,Purpose Volunteers are needed to help JASA’s Administrative Departments stay organized by assisting with clerical tasks....
Exercise Instructor - JASA Club 76 Senior Center,JASA,Purpose Regular exercise is an essential part of a healthy lifestyle. Lead a special evidence-based fall prevention exercise workshop for...
JASA is looking for Motivated Volunteers at Program Sites throughout New York City!,JASA,JASA has volunteer opportunities available at sites throughout New York City. Please contact Blaise McNair for more information at...
Project FIND Annual Christmas Community Celebration,Project FIND,Dinner will be served to seniors on site and meals will be delivered to homebound seniors. We will need: homebound meal deliverers wait...
Preparation for Project FIND Annual Christmas Dinner and Community Celebration,Project FIND,"Dec,24th -3:30 pm to 6:00 pm- Set-up Tables and pack gift Bags."
Encore Senior Center: Meals on Wheels - Saturday Delivery (Hell's Kitchen),Catholic Charities of the Archdiocese of New York,This is a great *family friendly*volunteer opportunity -- all ages welcome! Help us deliver meals on foot to our seniors in the midtown...
Appointment Companion & Special Project Volunteer,heights and hills,"Appointment Companion & Special Project volunteers are ready, willing and able to volunteer in a wide range of capacities across our..."
Crown Heights needs Friendly Visitors!,heights and hills,"Do you live or work in Crown Heights? We are looking for kind, patient, firendly volunteers who are interested in getting to know their..."
Respite Buddies needed!,heights and hills,Are you kind and collaborative by nature and looking for a way to give back that makes a real impact? Become a trusted friend and help...
Help Seniors and Others in Need Keep Their Pets! Volunteer with PAWS NY! (All Boroughs!),Pets Are Wonderful Support (PAWS NY),"Pets Are Wonderful Support (PAWS NY) is a grassroots, volunteer-driven organization. If you enjoy spending time with both people and..."
IVC seeks Active Seniors in New York,Ignatian Volunteer Corps,The Ignatian Volunteer Corps (IVC) exists to address the greatest social needs of New York City Metro area with the experience and skills...
Spend time with Spanish or Polish speaking seniors during the holiday season,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,"Riseboro Community Partnership is seeking Fun and innovative volunteers who are interested in spending one hour, one day a week with a..."
Buscando voluntarios para pasar tiempo con nuestro ancianos,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,"La programa de visitas amigables en Riseboro Community Partnership, es en un nuevo servicio que estamos empezando en el Programa de..."
Spend an hour one day per week with a isolated senior for the Summer.,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC,"Riseboro Community Partnership is seeking Fun and innovative volunteers who are interested in spending one hour, one day a week with a..."
Pantry Support,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,Volunteers will be making packages that were ordered by clients earlier in the day. Once the package is made it will be put on a shelf...
Piano Player for Dementia Program,Lenox Hill Neighborhood House,"Lenox Hill Neighborhood House, widely recognized as one of New York's premiere human services providers, is a 125-year-old settlement..."
Computer Lab Assistant,Lenox Hill Neighborhood House,"Lenox Hill Neighborhood House, widely recognized as one of New York's premiere human services providers, is a 125-year-old settlement..."
Volunteer Advocate or Benefits Specialist for Seniors - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Want to make a difference? Help seniors who feel disconnected from vital resources in their communities learn about and gain access to...
Pet Housecall or Pantry Volunteer - adults 55+ only,Retired & Senior Volunteer Program (RSVP)/CSSNYC,"Want to make a difference? Want to make a difference in the lives of both people and animals? Through this remarkable organization, you..."
Data Analytics Intern,Lighthouse Guild,"Information technology (IT) is responsible for the application of computers to store, retrieve, transmit and manipulate data, or..."
Information Technology Intern,Lighthouse Guild,"Lighthouse Guild seeks an intern to perform administrative tasks which are associated with computer, network and printing related issues..."
Outreach Assistant,Lighthouse Guild,"Outreach initiatives advance the use of Lighthouse Guild services through strategic, targeted contacts, collaborations, partnerships and..."
