title,org,desc
Global Health Volunteer Intern In New York City (Various Positions Available),CMMB,"Positions: Global Health Volunteers and Interns (various positions available) Location: 100 Wall Street, 9 th Floor, New York City, NY..."
Help Little Essentials sort donations!,Little Essentials,Volunteers are the heart of Little Essentials! We are always in need of volunteers to help us sort donated children's items at our...
Volunteer: Mentor Small Businesses & Start Ups,SCORE NYC,"OPPORTUNITY FOR Senior Managers and Executives Position: Mentor to Entrepreneurs in Manhattan, Brooklyn and The Bronx. Compensation:..."
Volunteer Softball Coach with a Fantastic Little League Program!,Downtown Little League,Downtown Little League's fastpitch softball program is looking for volunteer coaches to work with girls between the ages of 5-18 during...
Public Health Disease Prevention Intern,NYC Dept of Health and Mental Hygiene,The PHBP Unit is currently seeking volunteer interns who are pursuing a undergraduate or graduate degree in Public Health particularly...
"Volunteer with Girl Scouts, and Be the Role Model She'll Always Remember",Girl Scouts of the USA,"As a Girl Scout volunteer, you’ll introduce girls to new experiences that show them they’re capable of more than they ever..."
Amazing Team Need for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Ready Set GO! This is the first day of the event - Love fashion and meeting new people then we need you. We will be arranging our space...
Amazing Sales Team Needed for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Sue Rock Originals is the sustainable fashion-forward funding engine for a dynamic domestic violence non profit Sue Rock Originals...
Amazing Team Need for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Sue Rock Originals is the sustainable fashion-forward funding engine for a dynamic domestic violence non profit Sue Rock Originals...
"Women, don't just be sad about Child Abuse, do something about it right NOW!!!",Chicktime,Chicktime is a movement of women setting up networks all across America who are taking their place. Visit our website to find a network...
Amazing Team Need for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Ready Set GO! This is the first day of the event - Love fashion and meeting new people? - then we need you. We will be arranging our...
Amazing Team Need for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Every organization needs the thorough team to make sure that the event has completed with success - Come and be that team for us - We...
Amazing Team Need for Holiday Fundraising Pop-Up in NYC,Sue Rock Originals Everyone,Every organization needs the thorough team to make sure that the event has completed with success - Come and be that team for us - We...
Friendly Visits with a Lesbian Elder in Brooklyn - Spanish Speaking,GRIOT Circle Inc.,"Friendly Visiting with a Lesbian Elder If you identify as a lesbian or queer woman, speak Spanish and you would love to meet with an..."
Volunteer LPNs and RNs Needed for Pro-Life BK and BX Clinics,"Expectant Mother Care, a project of The...",This is an unique and exciting >volunteer intern< position for English speaking and bi-lingual English/Spanish speaking pro-life...
NYC Pro-Life Pregnancy help Counselor,"Expectant Mother Care, a project of The...","Here's an amazing opportunity for you to become a vitally needed LifeSaver in New York City!........but, YOU MUST BE PRO-LIFE, AND..."
Join a NYC Board of Directors - BoardAssist has 100s of New York board member openings,BoardAssist,Interested in serving as a high impact agent of change on a New York City nonprofit board? Contact BoardAssist. BoardAssist is the...
Major gift consultant,AUTOIMMUNE REGISTRY INC,Seeking an individual with experience finding major donors for a charity who can advise us on strategy. Ideal candidate will know what we...
Latinas On the Verge of Excellence - Internship Position,Latinas On the Verge of Excellence - L.O.V.E....,The Latinas On the Verge of Excellence - L.O.V.E. Mentoring Program supports and empowers young Latinas to strive both in school and life...
Mentor Young Latinas with L.O.V.E.!,Latinas On the Verge of Excellence - L.O.V.E....,The Latinas On the Verge of Excellence - L.O.V.E. Mentoring Program would like to invite college female students to serve as mentors in...
Mentoring for Hour Women,Hour Children,We are looking for mentors for Hour Children's working women program. We work with women returning to the community after a period of...
Beauticians Wanted! Give Lantern Residents Beauty Treatments,Lantern Community Services,Lantern Community Services is a social services organization that provides services to people who are formerly homeless or have recently...
Volunteer Focus on Veterans,Changing The Present,Make a Difference for Veterans! Intern or Volunteer with ChangingThePresent.org Here is the opportunity you have been looking for to...
Intern or Volunteer with ChangingThePresent.org to Help Catholic Charities and Make a...,Changing The Present,"Intern or Volunteer with ChangingThePresent.org to Help Catholic Charities and Make a Difference! Use your skills, experience, knowledge,..."
"Intern, Volunteer, and OPT Opportunities for International Students",Changing The Present,"Great Internships for International Students, Graduates, and Professionals ChangingThePresent has had fantastic interns and volunteers..."
Greeter,BEAUTY AT THE SURFACE IN HONOR OF CAROL LEE...,"I'm seeking individuals who are punctual, friendly & organized to help out at our 4th Annual Engaging & Empowering Change Through..."
Seed Coach,SEEDS OF FORTUNE,As a Seed Coach you will form a one-to-one advising relationship with a young woman of color to transform her passion and dreams into a...
Volunteer Assistant to President of the Foundation,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Grant Writing Volunteer,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
Media & Communications Volunteer or Student Intern,Afghanistan International Foundation for the...,"The Afghanistan International Foundation For The Blind (AIFB) formally known as ""Afghanistan Blind Women and Children Foundation..."
"Analytics Positions for CPT, OPT, H4 Visa Holders, L2 Visa Holders, and Students",Changing The Present,"Great Analytics Positions for Students, CPT, OPT, H4 Visa Holders, L2 Visa Holders. Here is a great opportunity to use your skills and..."
​You Can Make a Difference for Women and Girls! Intern or Volunteer with...,Changing The Present,"About ChangingThePresent.org The NY Times called ChangingThePresent.org ""an amazon.com of the nonprofit world."" Our..."
