,crisis_support,desc,org,title,advocacy,women,health_med,homeless_housing,seniors,arts_culture,animals,edu_lit,child_youth,community
0,True,"Occasionally the DFTA Volunteer Resource Center seeks volunteers for short-term, one-time or special projects throughout New York City....",NYC Department for the Aging (DFTA),Unique Opportunities,False,False,False,False,True,False,False,False,False,True
1,True,The Youth Voices Network is a group of volunteers who have had personal experience with dating abuse and/or intimate partner violence...,Day One Youth Voices Network,Prevent Dating Abuse - Join the Youth Voices Network!,True,False,False,False,False,False,False,False,False,True
2,True,"Samaritans of New York operates the city’s 24-hour suicide prevention hotline. Last year, we answered over 75,000 hotline calls....",Samaritans of New York,Support Mental Health Needs of New Yorkers in Crisis-- Volunteer,False,False,True,False,False,False,False,False,False,True
3,True,"Hello, we are in need of volunteers to collect and distribute winter coats for those in need this season. If you can please assist us in...","Blue Horseshoe Foundation, Inc.",Help With Our Winter Coat Drive!!!,False,False,False,True,False,False,False,False,False,True
4,True,Ready Set GO! This is the first day of the event - Love fashion and meeting new people then we need you. We will be arranging our space...,Sue Rock Originals Everyone,Amazing Team Need for Holiday Fundraising Pop-Up in NYC,False,True,False,False,False,False,False,False,False,False
5,True,Every organization needs the thorough team to make sure that the event has completed with success - Come and be that team for us - We...,Sue Rock Originals Everyone,Amazing Team Need for Holiday Fundraising Pop-Up in NYC,False,False,False,False,False,False,False,False,False,False
6,True,"Here's an amazing opportunity for you to become a vitally needed LifeSaver in New York City!........but, YOU MUST BE PRO-LIFE, AND...","Expectant Mother Care, a project of The...",NYC Pro-Life Pregnancy help Counselor,False,True,False,False,False,False,False,False,False,False
7,True,Lantern Community Services is a homeless services non-profit that helps people who are formerly homeless or have recently aged out of...,Lantern Community Services,Help Lantern Community Services with Administrative Work at Midtown Location,False,False,False,True,False,False,False,False,False,True
8,True,Mount Sinai Beth Israel Victim Services Program is seeking compassionate and caring people to volunteer and support survivors of sexual...,Mount Sinai Beth Israel,Volunteer Advocate for Survivors of Sexual Assault and Intimate Partner Violence,True,False,False,False,False,False,False,False,False,True
9,True,"The Emergency Communications Center (ECC) is ""command central"" for many of our operations. The ECC Dispatcher plays a vital...",American Red Cross - Greater New York Region,Volunteer Emergency Dispatcher,False,False,False,False,False,False,False,False,False,False
10,True,Supervisor: Helpline Manager Position Summary: Information and Referral Helpline volunteers will offer information and treatment options...,National Eating Disorders Association,Helpline Volunteer/Intern,False,False,True,False,False,False,False,False,False,True
11,True,Job Details: Do you enjoy designing and creating fashion pieces and clothing? Are you ready to join a life-changing organization where...,Yadestinytreasurechest,Fashion Designer,False,False,False,False,False,True,False,False,True,False
12,True,Want to make a difference? Want to help hungry New Yorkers down on their luck and in need of something to eat? Look no further as RSVP...,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Food Pantry or Soup Kitchen Volunteer - adults 55+ only,False,False,False,False,False,False,False,False,False,True
13,True,Want to make a difference? Help fulfill the promise of Hospice to those grappling with life-limiting illnesses and their families. Be the...,Retired & Senior Volunteer Program (RSVP)/CSSNYC,Hospice Volunteer - adults 55+ only,False,False,True,False,False,False,False,False,False,False
14,True,"For corporations and community groups that would like to volunteer with their colleagues and peers for the day, we offer a number of...",Gay Men's Health Crisis,Days of Service for Groups,False,False,False,False,False,False,False,False,False,True
15,True,"PLEASE APPLY VIA EMAIL: volunteers@lifetarget.org SEEKING: Expert web designer WordPress LIFE TARGET, based in NYC ( www.lifetarget.org)....",LIFE TARGET INCORPORATED,Web Designer Volunteers,False,False,False,False,False,False,False,False,False,True
16,True,"Help us put together 100 holiday kits for individuals in our shelters and safe havens Kits include backpack, socks and much needed...",Center for Urban Community Services,Put Together Holiday Kits For Homeless Individuals,False,False,False,True,False,False,False,False,False,True
17,True,"We need caring, committed child care volunteers to assist in the our Building Bridges group, an art therapy group for immigrant moms who...",LSA Family Health Service,URGENT! Assist with Child Care needs in our Art Therapy Group with Moms on Thursdays,False,False,False,False,False,False,False,False,False,False
18,True,We are looking for an organized Assistant/ file clerk to do file management and maintenance. You will organize paperwork according to an...,"HANAC, INC.",Office Assistant_ Human Resources Department,False,False,False,False,False,False,False,False,True,True
19,True,"PLEASE APPLY VIA EMAIL: volunteers@lifetarget.org SEEKING: Individuals to build a dynamic team to raise funds through GoFundMe, giving...",LIFE TARGET INCORPORATED,GoFundMe Life Target Campaign,True,False,False,False,False,False,False,False,False,True
